"id","original_title","budget","popularity","release_date","revenue","title","vote_average","vote_count","overview","tagline","uid","director_id"
"43616","The Hobbit: The Battle of the Five Armies","250000000","120","2014-12-10","956019788","The Hobbit: The Battle of the Five Armies","7.1","4760","Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.","Witness the defining chapter of the Middle-Earth saga","122917","4777"
"43617","The Amazing Spider-Man","215000000","89","2012-06-27","752215857","The Amazing Spider-Man","6.5","6586","Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.","The untold story begins.","1930","4778"
"43618","Robin Hood","200000000","37","2010-05-12","310669540","Robin Hood","6.2","1398","When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.","Rise and rise again, until lambs become lions.","20662","4779"
"43619","The Hobbit: The Desolation of Smaug","250000000","94","2013-12-11","958400000","The Hobbit: The Desolation of Smaug","7.6","4524","The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.","Beyond darkness... beyond desolation... lies the greatest danger of all.","57158","4777"
"43620","The Golden Compass","180000000","42","2007-12-04","372234864","The Golden Compass","5.8","1303","After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.","There are worlds beyond our own - the compass will show the way.","2268","4780"
"43621","King Kong","207000000","61","2005-12-14","550000000","King Kong","6.6","2337","In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.","The eighth wonder of the world.","254","4777"
"43622","Titanic","200000000","100","1997-11-18","1845034188","Titanic","7.5","7562","84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.","Nothing on Earth could come between them.","597","4762"
"43623","Captain America: Civil War","250000000","198","2016-04-27","1153304495","Captain America: Civil War","7.1","7241","Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.","Divided We Fall","271110","4781"
"43624","Battleship","209000000","64","2012-04-11","303025485","Battleship","5.5","2114","When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him.","The Battle for Earth Begins at Sea","44833","4782"
"43625","Jurassic World","150000000","418","2015-06-09","1513528810","Jurassic World","6.5","8662","Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.","The park is open.","135397","4783"
"43626","Skyfall","200000000","93","2012-10-25","1108561013","Skyfall","6.9","7604","When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.","Think on your sins.","37724","4764"
"43627","Spider-Man 2","200000000","35","2004-06-25","783766341","Spider-Man 2","6.7","4321","Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.","There's a hero in all of us.","558","4767"
"43628","Iron Man 3","200000000","77","2013-04-18","1215439994","Iron Man 3","6.8","8806","When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.","Unleash the power behind the armor.","68721","4784"
"43629","Alice in Wonderland","200000000","78","2010-03-03","1025491110","Alice in Wonderland","6.4","4645","Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne.","You're invited to a very important date.","12155","4785"
"43630","X-Men: The Last Stand","210000000","3","2006-05-24","459359555","X-Men: The Last Stand","6.3","3525","When a cure is found to treat mutations, lines are drawn amongst the X-Men and The Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto.","Take a Stand","36668","4786"
"43631","Monsters University","200000000","89","2013-06-20","743559607","Monsters University","7.0","3528","A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.","School never looked this scary.","62211","4787"
"43632","Transformers: Revenge of the Fallen","150000000","21","2009-06-19","836297228","Transformers: Revenge of the Fallen","6.0","3138","Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.","Revenge is coming.","8373","4788"
"43633","Transformers: Age of Extinction","210000000","116","2014-06-25","1091405097","Transformers: Age of Extinction","5.8","3095","As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.","This is not war. It's extinction.","91314","4788"
"43634","Oz: The Great and Powerful","200000000","46","2013-03-07","491868548","Oz: The Great and Powerful","5.7","3530","Oscar Diggs, a small-time circus illusionist and con-artist, is whisked from Kansas to the Land of Oz where the inhabitants assume he's the great wizard of prophecy, there to save Oz from the clutches of evil.","In Oz, nothing is what it seems","68728","4767"
"43635","The Amazing Spider-Man 2","200000000","89","2014-04-16","705717432","The Amazing Spider-Man 2","6.5","4179","For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.","No more secrets.","102382","4778"
"43636","TRON: Legacy","170000000","73","2010-12-10","400062763","TRON: Legacy","6.3","2841","Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evil dictator Clu from crossing into the real world.","The Game Has Changed.","20526","4789"
"43637","Cars 2","200000000","49","2011-06-11","559852396","Cars 2","5.8","2033","Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.","Ka-ciao!","49013","4790"
"43638","Green Lantern","200000000","51","2011-06-16","219851172","Green Lantern","5.1","2487","For centuries, a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order. Each Green Lantern wears a ring that grants him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe, their fate and the fate of Earth lie in the hands of the first human ever recruited.","In our darkest hour, there will be light.","44912","4791"
"43639","Toy Story 3","200000000","59","2010-06-16","1066969703","Toy Story 3","7.6","4597","Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.","No toy gets left behind.","10193","4792"
"43640","Terminator Salvation","200000000","71","2009-05-20","371353001","Terminator Salvation","5.9","2463","All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against the increasingly dominating militaristic robots. But when Marcus Wright appears, his existence confuses the mission as Connor tries to determine whether Wright has come from the future or the past -- and whether he's friend or foe.","The End Begins.","534","4793"
"43641","Furious 7","190000000","102","2015-04-01","1506249360","Furious 7","7.3","4176","Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.","Vengeance Hits Home","168259","4794"
"43642","World War Z","200000000","81","2013-06-20","531865000","World War Z","6.7","5560","Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.","Remember Philly!","72190","4773"
"43643","X-Men: Days of Future Past","250000000","118","2014-05-15","747862775","X-Men: Days of Future Past","7.5","6032","The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.","To save the future, they must alter the past","127585","4772"
"43644","Star Trek Into Darkness","190000000","78","2013-05-05","467365246","Star Trek Into Darkness","7.4","4418","When the crew of the Enterprise is called back home, they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for, leaving our world in a state of crisis.  With a personal score to settle, Captain Kirk leads a manhunt to a war-zone world to capture a one man weapon of mass destruction. As our heroes are propelled into an epic chess game of life and death, love will be challenged, friendships will be torn apart, and sacrifices must be made for the only family Kirk has left: his crew.","Earth Will Fall","54138","4795"
"43645","Jack the Giant Slayer","195000000","43","2013-02-27","197687603","Jack the Giant Slayer","5.5","2598","The story of an ancient war that is reignited when a young farmhand unwittingly opens a gateway between our world and a fearsome race of giants. Unleashed on the Earth for the first time in centuries, the giants strive to reclaim the land they once lost, forcing the young man, Jack into the battle of his life to stop them. Fighting for a kingdom, its people, and the love of a brave princess, he comes face to face with the unstoppable warriors he thought only existed in legend–and gets the chance to become a legend himself.","Prepare for a giant adventure","81005","4772"
"43646","The Great Gatsby","105000000","61","2013-05-10","351040419","The Great Gatsby","7.3","3769","An adaptation of F. Scott Fitzgerald's Long Island-set novel, where Midwesterner Nick Carraway is lured into the lavish world of his neighbor, Jay Gatsby. Soon enough, however, Carraway will see through the cracks of Gatsby's nouveau riche existence, where obsession, madness, and tragedy await.","Reserving judgments is a matter of infinite hope... I come to the admission that it has a limit.","64682","4796"
"43647","Prince of Persia: The Sands of Time","150000000","62","2010-05-19","335154643","Prince of Persia: The Sands of Time","6.2","2317","A rogue prince reluctantly joins forces with a mysterious princess and together, they race against dark forces to safeguard an ancient dagger capable of releasing the Sands of Time – gift from the gods that can reverse time and allow its possessor to rule the world.","Defy the Future","9543","4797"
"43648","Pacific Rim","180000000","56","2013-07-11","407602906","Pacific Rim","6.7","4794","When legions of monstrous creatures, known as Kaiju, started rising from the sea, a war began that would take millions of lives and consume humanity's resources for years on end. To combat the giant Kaiju, a special type of weapon was devised: massive robots, called Jaegers, which are controlled simultaneously by two pilots whose minds are locked in a neural bridge. But even the Jaegers are proving nearly defenseless in the face of the relentless Kaiju. On the verge of defeat, the forces defending mankind have no choice but to turn to two unlikely heroes—a washed-up former pilot (Charlie Hunnam) and an untested trainee (Rinko Kikuchi)—who are teamed to drive a legendary but seemingly obsolete Jaeger from the past. Together, they stand as mankind's last hope against the mounting apocalypse.","To Fight Monsters, We Created Monsters","68726","4798"
"43649","Transformers: Dark of the Moon","195000000","28","2011-06-28","1123746996","Transformers: Dark of the Moon","6.1","3299","Sam Witwicky takes his first tenuous steps into adulthood while remaining a reluctant human ally of Autobot-leader Optimus Prime. The film centers around the space race between the USSR and the USA, suggesting there was a hidden Transformers role in it all that remains one of the planet's most dangerous secrets.","The invasion we always feared. An enemy we never expected.","38356","4788"
"43650","Indiana Jones and the Kingdom of the Crystal Skull","185000000","75","2008-05-21","786636033","Indiana Jones and the Kingdom of the Crystal Skull","5.7","2495","Set during the Cold War, the Soviets – led by sword-wielding Irina Spalko – are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. After being captured and then escaping from them, Indy is coerced to head to Peru at the behest of a young man whose friend – and Indy's colleague – Professor Oxley has been captured for his knowledge of the skull's whereabouts.","The adventure continues . . .","217","4799"
"43651","The Good Dinosaur","175000000","51","2015-11-14","331926147","The Good Dinosaur","6.6","1736","An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend.","Little Arms With Big Attitude","105864","4800"
"43652","Brave","185000000","125","2012-06-21","538983207","Brave","6.7","4641","Brave is set in the mystical Scottish Highlands, where Mérida is the princess of a kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer, Mérida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. In an attempt to set things right, Mérida seeks out an eccentric old Wise Woman and is granted an ill-fated wish. Also figuring into Mérida’s quest — and serving as comic relief — are the kingdom’s three lords: the enormous Lord MacGuffin, the surly Lord Macintosh, and the disagreeable Lord Dingwall.","Change your fate.","62177","4801"
"43653","Star Trek Beyond","185000000","65","2016-07-07","343471816","Star Trek Beyond","6.6","2568","The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a mysterious new enemy who puts them and everything the Federation stands for to the test.","","188927","4802"
"43654","WALL·E","180000000","66","2008-06-22","521311860","WALL·E","7.8","6296","WALL·E is the last robot left on an Earth that has been overrun with garbage and all humans have fled to outer space. For 700 years he has continued to try and clean up the mess, but has developed some rather interesting human-like qualities. When a ship arrives with a sleek new type of robot, WALL·E thinks he's finally found a friend and stows away on the ship when it leaves.","An adventure beyond the ordinar-E.","10681","4766"
"43655","Rush Hour 3","140000000","22","2007-08-08","258022233","Rush Hour 3","6.1","783","After an attempted assassination on Ambassador Han, Inspector Lee and Detective Carter are back in action as they head to Paris to protect a French woman with knowledge of the Triads' secret leaders. Lee also holds secret meetings with a United Nations authority, but his personal struggles with a Chinese criminal mastermind named Kenji, which reveals that it's Lee's long-lost...brother.","The Rush Is On!","5174","4786"
"43656","2012","200000000","45","2009-10-10","769653595","2012","5.6","4903","Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world.","We Were Warned.","14161","4803"
"43657","A Christmas Carol","200000000","39","2009-11-04","325233863","A Christmas Carol","6.6","1095","Miser Ebenezer Scrooge is awakened on Christmas Eve by spirits who reveal to him his own miserable existence, what opportunities he wasted in his youth, his current cruelties, and the dire fate that awaits him if he does not change his ways. Scrooge is faced with his own story of growing bitterness and meanness, and must decide what his own future will hold: death or redemption.","Season's Greedings","17979","4804"
"43658","Jupiter Ascending","176000003","85","2015-02-04","183987723","Jupiter Ascending","5.2","2768","In a universe where human genetic material is the most precious commodity, an impoverished young Earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty…","Expand your universe.","76757","4805"
"43659","The Legend of Tarzan","180000000","42","2016-06-29","356743061","The Legend of Tarzan","5.5","2430","Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.","Human. Nature.","258489","4770"
"43660","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","180000000","67","2005-12-07","748806957","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","6.7","2629","Siblings Lucy, Edmund, Susan and Peter step through a magical wardrobe and find the land of Narnia. There, the they discover a charming, once peaceful kingdom that has been plunged into eternal winter by the evil White Witch, Jadis. Aided by the wise and magnificent lion, Aslan, the children lead Narnia into a spectacular, climactic battle to be free of the Witch's glacial powers forever.","Evil Has Reigned For 100 Years...","411","4774"
"43661","X-Men: Apocalypse","178000000","139","2016-05-18","543934787","X-Men: Apocalypse","6.4","4721","After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan.","Only the strong will survive","246655","4772"
"43662","The Dark Knight","185000000","187","2008-07-16","1004558444","The Dark Knight","8.2","12002","Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.","Why So Serious?","155","4765"
"43663","Up","175000000","92","2009-05-13","735099082","Up","7.7","6870","Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.","","14160","4806"
"43664","Monsters vs Aliens","175000000","36","2009-03-19","381509870","Monsters vs Aliens","6.0","1423","When Susan Murphy is unwittingly clobbered by a meteor full of outer space gunk on her wedding day, she mysteriously grows to 49-feet-11-inches. The military jumps into action and captures Susan, secreting her away to a covert government compound. She is renamed Ginormica and placed in confinement with a ragtag group of Monsters...","When aliens attack, monsters fight back.","15512","4807"
"43665","Iron Man","140000000","120","2008-04-30","585174222","Iron Man","7.4","8776","After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.","Heroes aren't born. They're built.","1726","4808"
"43666","Hugo","170000000","32","2011-11-22","185770160","Hugo","7.0","2141","Hugo is an orphan boy living in the walls of a train station in 1930s Paris. He learned to fix clocks and other gadgets from his father and uncle which he puts to use keeping the train station clocks running. The only thing that he has left that connects him to his dead father is an automaton (mechanical man) that doesn't work without a special key which Hugo needs to find to unlock the secret he believes it contains. On his adventures, he meets with a shopkeeper, George Melies, who works in the train station and his adventure-seeking god-daughter. Hugo finds that they have a surprising connection to his father and the automaton, and he discovers it unlocks some memories the old man has buried inside regarding his past.","One of the most legendary directors of our time takes you on an extraordinary adventure.","44826","4809"
"43667","Wild Wild West","170000000","40","1999-06-29","222104681","Wild Wild West","5.1","1020","Legless Southern inventor Dr. Arliss Loveless plans to rekindle the Civil War by assassinating President U.S. Grant. Only two men can stop him: gunfighter James West and master-of-disguise and inventor Artemus Gordon. The two must team up to thwart Loveless' plans.","It's a whole new west.","8487","4776"
"43668","The Mummy: Tomb of the Dragon Emperor","145000000","60","2008-07-01","401128639","The Mummy: Tomb of the Dragon Emperor","5.2","1387","Archaeologist Rick O'Connell travels to China, pitting him against an emperor from the 2,000-year-old Han dynasty who's returned from the dead to pursue a quest for world domination. This time, O'Connell enlists the help of his wife and son to quash the so-called 'Dragon Emperor' and his abuse of supernatural power.","A New Evil Awakens.","1735","4810"
"43669","Suicide Squad","175000000","90","2016-08-02","745000000","Suicide Squad","5.9","7458","From DC Comics comes the Suicide Squad, an antihero team of incarcerated supervillains who act as deniable assets for the United States government, undertaking high-risk black ops missions in exchange for commuted prison sentences.","Worst Heroes Ever","297761","4811"
"43670","Evan Almighty","175000000","27","2007-06-09","173000000","Evan Almighty","5.3","1151","God contacts Congressman Evan Baxter and tells him to build an ark in preparation for a great flood.","A comedy of biblical proportions","2698","4812"
"43671","Edge of Tomorrow","178000000","79","2014-05-27","370541256","Edge of Tomorrow","7.6","4858","Major Bill Cage is an officer who has never seen a day of combat when he is unceremoniously demoted and dropped into combat. Cage is killed within minutes, managing to take an alpha alien down with him. He awakens back at the beginning of the same day and is forced to fight and die again... and again - as physical contact with the alien has thrown him into a time loop.","Live, Die, Repeat","137113","4813"
